name,domain,address,type,id.jisc,id.ukprn,id.isni,id.ringgold,id.gokb,id.ncsu-olnd-uri,id.viaf,id.freebase-uri,id.lccn,id.dbpedia-uri,id.dnb-uri,id.juliet,id.doi,funder_group,membership_org
101 Communications,,,Publisher,,,,,1,http://www.lib.ncsu.edu/ld/onld/00000326,158163150,,,,,,,,false
3-R Executive Systems,,,Publisher,,,,,10,http://www.lib.ncsu.edu/ld/onld/00000263,,,,,,,,,false
University of Georgia College of Veterinary Medicine,,,Publisher,,,,,10003,http://www.lib.ncsu.edu/ld/onld/00001420,137217628,http://rdf.freebase.com/ns/m/0f_l8g,n81086345,http://dbpedia.org/resource/University_of_Georgia_College_of_Veterinary_Medicine,,,,,false
University of Hawaii at Manoa. Art Gallery,,,Publisher,,,000000012220538X,,10016,http://www.lib.ncsu.edu/ld/onld/00001139,264845503,,n81142166,,,,,,false
American Bar Foundation,,,Publisher,,,0000000112299095,,1002,http://www.lib.ncsu.edu/ld/onld/00000523,122255994,http://rdf.freebase.com/ns/m/08qj21,n80126283,http://dbpedia.org/resource/American_Bar_Foundation,,,,,false
University of Hawaii Press,,,Publisher,,,0000000092052481,,10021,http://www.lib.ncsu.edu/ld/onld/00001921,134900446,http://rdf.freebase.com/ns/m/028bvxw,n82273872,http://dbpedia.org/resource/University_of_Hawaii_Press,,,,,false
University of Idaho Press,,,Publisher,,,,,10028,http://www.lib.ncsu.edu/ld/onld/00001922,,http://rdf.freebase.com/ns/m/02pjjqc,,http://dbpedia.org/resource/University_of_Idaho_Press,,,,,false
University of Illinois at Urbana-Champaign. Department of Landscape Architecture,,,Publisher,,,0000000123081761,,10032,http://www.lib.ncsu.edu/ld/onld/00001140,261882513,,n80073689,,,,,,false
University of Illinois at Urbana-Champaign. College of Engineering,,,Publisher,,,,,10037,http://www.lib.ncsu.edu/ld/onld/00001806,143617294,http://rdf.freebase.com/ns/m/03w0g3,n50049209,http://dbpedia.org/resource/UIUC_College_of_Engineering,,,,,false
University of Illinois Press,,,Publisher,,,0000000114061312,,10043,http://www.lib.ncsu.edu/ld/onld/00001471,122554477,http://rdf.freebase.com/ns/m/m/074bb8,n92005943,http://dbpedia.org/resource/University_of_Illinois_Press,,,,,false
University of Kansas. Natural History Museum,,,Publisher,,,0000000122852747,,10050,http://www.lib.ncsu.edu/ld/onld/00001472,127156448,http://rdf.freebase.com/ns/m/08lppj,no95020062,http://dbpedia.org/resource/University_of_Kansas_Natural_History_Museum,,,,,false
University of London Press,,,Publisher,,,0000000123241649,,10057,http://www.lib.ncsu.edu/ld/onld/00001923,138712609,http://rdf.freebase.com/ns/m/05qj7tg,no2002094046,,,,,,false
University of London. Institute of Historical Research,,,Publisher,,,0000000119418034,,10063,http://www.lib.ncsu.edu/ld/onld/00002181,266515942,http://rdf.freebase.com/ns/m/0bltby,n50045646,http://dbpedia.org/resource/Institute_of_Historical_Research,,,,,false
